beer,user,rating
3558,Lucular,3.93
150933,Lucular,4.64
3951,Lucular,3.77
3968,Lucular,3.63
4202,Lucular,3.5
33127,Lucular,4.0
30420,Lucular,4.02
9478,Lucular,4.38
116648,Lucular,4.37
48139,Lucular,3.44
40058,Lucular,4.26
202078,Lucular,4.04
7348,Lucular,4.47
7531,Lucular,3.8
98383,Lucular,3.83
146788,Lucular,3.68
29619,Lucular,3.75
9086,Lucular,3.87
20564,Lucular,3.73
34483,Lucular,4.28
10482,Lucular,4.17
10672,Lucular,4.67
64550,Lucular,4.29
11757,Lucular,4.39
11922,Lucular,3.52
12013,Lucular,3.77
14712,Lucular,4.59
30282,Lucular,3.67
15813,Lucular,3.99
15881,Lucular,3.96
16062,Lucular,4.36
22352,Lucular,3.9
20445,Lucular,3.98
99873,Lucular,4.24
58914,Lucular,4.01
109789,Lucular,3.62
71969,Lucular,4.2
18862,Lucular,3.39
19589,Lucular,3.5
138735,Lucular,4.37
20781,Lucular,3.75
21300,Lucular,3.67
37265,Lucular,4.46
60420,Lucular,3.96
21950,Lucular,4.34
77299,Lucular,3.99
46363,Lucular,3.88
24905,Lucular,4.17
168971,Lucular,4.34
41121,Lucular,4.28
84596,Lucular,3.81
48582,Lucular,4.22
76393,Lucular,4.71
27604,Lucular,3.59
90156,Lucular,4.42
95386,Lucular,3.63
37795,Lucular,3.85
80291,Lucular,4.06
51512,Lucular,4.15
189272,Lucular,4.66
89345,Lucular,4.23
197183,Lucular,3.78
84045,Lucular,4.06
35625,Lucular,4.14
133621,Lucular,4.18
50570,Lucular,4.11
51480,Lucular,4.09
35720,Lucular,3.56
73618,Lucular,4.44
68269,Lucular,2.89
181572,Lucular,4.21
64228,Lucular,4.35
55081,Lucular,4.05
81067,Lucular,4.28
63249,Lucular,4.52
56973,Lucular,4.03
45653,Lucular,3.95
86149,Lucular,3.93
125646,ColForbinBC,4.38
47658,ColForbinBC,4.55
58610,ColForbinBC,4.19
66674,ColForbinBC,3.74
48824,ColForbinBC,4.1
50697,ColForbinBC,3.5
55939,ColForbinBC,4.13
68916,ColForbinBC,4.21
74986,ColForbinBC,3.89
76816,ColForbinBC,4.03
178857,ColForbinBC,4.18
150209,ColForbinBC,4.56
117177,ColForbinBC,4.5
178740,ColForbinBC,4.06
142974,ColForbinBC,3.89
86237,ColForbinBC,4.2
45073,ColForbinBC,4.35
2264,ColForbinBC,3.77
30,ColForbinBC,4.32
31,ColForbinBC,3.92
33,ColForbinBC,4.18
34,ColForbinBC,4.18
39,ColForbinBC,4.4
63,ColForbinBC,4.0
59,ColForbinBC,4.2
65,ColForbinBC,1.88
38394,ColForbinBC,4.19
16403,ColForbinBC,4.23
88,ColForbinBC,4.03
90,ColForbinBC,4.28
92,ColForbinBC,3.96
99,ColForbinBC,4.08
101,ColForbinBC,3.6
102,ColForbinBC,3.6
104,ColForbinBC,3.95
131,ColForbinBC,4.42
141,ColForbinBC,4.06
142,ColForbinBC,4.32
147,ColForbinBC,3.65
148,ColForbinBC,3.78
28577,ColForbinBC,4.32
